Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PPG_NBA,RPG_NBA,APG_NBA,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683,31.7,25.7,7,3.2,10.6,0.189,4.6,4.5
2,2,MEM,Ja Morant,Murray State,3,149,4746,2855,617,1082,0.465,0.323,0.754,31.9,19.2,4.1,7.3,8.8,0.089,0.2,2.7
3,3,NYK,RJ Barrett,Duke,3,149,4871,2362,817,405,0.421,0.361,0.684,32.7,15.9,5.5,2.7,3.8,0.038,-2.9,-1.1
4,4,LAL,De'Andre Hunter,Virginia,3,97,3002,1241,426,163,0.432,0.352,0.782,30.9,12.8,4.4,1.7,1.8,0.028,-3.5,-1.2
5,5,CLE,Darius Garland,Vanderbilt,3,133,4307,2039,292,701,0.433,0.371,0.856,32.4,15.3,2.2,5.3,1.2,0.014,-3,-1.1
6,6,PHO,Jarrett Culver,Texas Tech,3,103,2054,782,323,139,0.407,0.288,0.509,19.9,7.6,3.1,1.3,-0.1,-0.003,-4.6,-1.4
7,7,CHI,Coby White,UNC,3,143,3988,1955,537,515,0.404,0.352,0.842,27.9,13.7,3.8,3.6,3.1,0.037,-2.9,-0.9
8,8,ATL,Jaxson Hayes,Texas,3,143,2276,1033,578,96,0.631,0.379,0.703,15.9,7.2,4,0.7,8,0.169,-0.2,1
9,9,WAS,Rui Hachimura,Gonzaga,2,105,3241,1438,606,169,0.473,0.313,0.797,30.9,13.7,5.8,1.6,3.9,0.058,-3.3,-1.1
10,10,ATL,Cam Reddish,Duke,3,105,2773,1143,379,141,0.385,0.323,0.823,26.4,10.9,3.6,1.3,0.7,0.012,-3.7,-1.2
11,11,MIN,Cameron Johnson,UNC,3,138,3163,1261,453,180,0.424,0.371,0.81,22.9,9.1,3.3,1.3,6.2,0.094,-0.3,1.4
12,12,CHO,P.J. Washington,Kentucky,3,134,3994,1657,790,305,0.45,0.389,0.7,29.8,12.4,5.9,2.3,5.3,0.063,-1.2,0.8
13,13,MIA,Tyler Herro,Kentucky,3,128,3784,1971,596,378,0.437,0.378,0.842,29.6,15.4,4.7,3,4.3,0.055,-1.1,0.8
14,14,BOS,Romeo Langford,Indiana,3,67,976,216,130,35,0.364,0.313,0.729,14.6,3.2,1.9,0.5,0.6,0.03,-4.6,-0.6
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.012,-6.6,-1.9
16,16,ORL,Chuma Okeke,Auburn,2,62,1493,467,250,122,0.406,0.314,0.794,24.1,7.5,4,2,1.5,0.047,-1.9,0
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,117,2292,1108,327,254,0.39,0.33,0.735,19.6,9.5,2.8,2.2,0.6,0.013,-2.8,-0.5
18,18,IND,Goga Bitadze,,3,115,1170,446,293,63,0.425,0.219,0.721,10.2,3.9,2.5,0.5,2.3,0.094,-2.1,0
19,19,SAS,Luka Šamani?,,2,36,356,138,78,21,0.43,0.294,0.576,9.9,3.8,2.2,0.6,0.1,0.015,-5,-0.3
20,20,BOS,Matisse Thybulle,Washington,3,145,2968,655,268,158,0.434,0.327,0.6,20.5,4.5,1.8,1.1,5.8,0.094,1,2.3
21,21,OKC,Brandon Clarke,Gonzaga,3,135,3004,1446,754,201,0.57,0.289,0.718,22.3,10.7,5.6,1.5,10.3,0.165,2.1,3.1
22,22,BOS,Grant Williams,Tennessee,3,154,2648,694,431,156,0.443,0.348,0.698,17.2,4.5,2.8,1,4.3,0.077,-2.7,-0.5
23,23,UTA,Darius Bazley,,3,137,3430,1280,783,170,0.388,0.302,0.689,25,9.3,5.7,1.2,0,-0.001,-3.4,-1.2
24,24,PHI,Ty Jerome,Virginia,3,82,1353,579,158,183,0.413,0.374,0.792,16.5,7.1,1.9,2.2,2,0.07,-0.9,0.4
25,25,POR,Nassir Little,UNC,3,117,1683,566,348,61,0.458,0.307,0.746,14.4,4.8,3,0.5,2.7,0.076,-2.9,-0.4
26,26,CLE,Dylan Windler,Belmont,2,47,695,205,138,51,0.44,0.35,0.774,14.8,4.4,2.9,1.1,0.9,0.06,-1.8,0
27,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,0.388,0.314,0.84,6.7,2.7,1.4,0.4,0.4,0.054,-3.3,-0.1
28,28,GSW,Jordan Poole,Michigan,3,129,2901,1504,276,303,0.399,0.324,0.853,22.5,11.7,2.1,2.3,2.5,0.041,-3.3,-1
29,29,SAS,Keldon Johnson,Kentucky,3,105,2866,1319,591,175,0.487,0.369,0.73,27.3,12.6,5.6,1.7,5.3,0.089,-1.6,0.3
30,30,MIL,Kevin Porter Jr.,USC,3,94,2553,1165,344,377,0.418,0.322,0.701,27.2,12.4,3.7,4,-0.2,-0.003,-4.1,-1.4
31,31,BRK,Nicolas Claxton,Georgia,3,51,857,304,232,47,0.601,0.167,0.489,16.8,6,4.5,0.9,2.5,0.14,-0.4,0.4
32,32,PHO,KZ Okpala,Stanford,3,52,536,116,86,23,0.373,0.217,0.6,10.3,2.2,1.7,0.4,0.3,0.029,-6.5,-0.6
33,33,PHI,Carsen Edwards,Purdue,2,68,627,244,73,38,0.372,0.302,0.75,9.2,3.6,1.1,0.6,0.4,0.03,-4.7,-0.4
34,34,PHI,Bruno Fernando,Maryland,3,96,952,291,277,60,0.498,0.128,0.603,9.9,3,2.9,0.6,0.7,0.035,-4.9,-0.7
35,35,ATL,Didi Louzada,,2,5,63,8,5,4,0.188,0.182,,12.6,1.6,1,0.8,-0.2,-0.118,-10.2,-0.1
36,36,CHO,Cody Martin,Nevada,3,122,2294,614,410,230,0.446,0.305,0.643,18.8,5,3.4,1.9,3.6,0.074,-1.3,0.4
37,37,DAL,Deividas Sirvydis,,1,20,133,41,29,5,0.35,0.357,0.5,6.7,2.1,1.5,0.3,0,-0.01,-5.6,-0.1
38,38,CHI,Daniel Gafford,Arkansas,3,116,1801,777,449,70,0.685,,0.632,15.5,6.7,3.9,0.6,7.1,0.189,1.4,1.6
39,39,NOP,Alen Smailagi?,,2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.4,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.2,-0.2
41,41,GSW,Eric Paschall,Villanova,3,119,2579,1288,441,192,0.492,0.297,0.752,21.7,10.8,3.7,1.6,3.5,0.064,-2.8,-0.5
42,42,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,0.38,0.311,0.667,11.2,3,1.4,0.5,0.1,0.017,-5.5,-0.3
43,43,MIN,Jaylen Nowell,Washington,3,68,974,463,118,90,0.411,0.293,0.851,14.3,6.8,1.7,1.3,0.9,0.046,-3.1,-0.3
44,44,MIA,Bol Bol,Oregon,3,49,294,124,57,15,0.455,0.361,0.679,6,2.5,1.2,0.3,0.2,0.03,-3.3,-0.1
45,45,DET,Isaiah Roby,Nebraska,3,75,1571,603,373,116,0.488,0.295,0.742,20.9,8,5,1.5,1.7,0.051,-3.2,-0.5
46,46,ORL,Talen Horton-Tucker,Iowa State,3,81,1673,728,227,213,0.445,0.285,0.791,20.7,9,2.8,2.6,2.4,0.07,-1.8,0.1
47,47,SAC,Ignas Brazdeikis,Michigan,3,33,394,126,67,26,0.364,0.283,0.714,11.9,3.8,2,0.8,-0.2,-0.021,-7,-0.5
48,48,LAC,Terance Mann,Florida State,3,129,2220,781,402,211,0.489,0.385,0.798,17.2,6.1,3.1,1.6,6,0.13,-0.7,0.7
49,49,SAS,Quinndary Weatherspoon,Mississippi State,2,31,199,58,18,19,0.404,0.182,0.778,6.4,1.9,0.6,0.6,-0.1,-0.014,-6,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,0.438,0.366,0.75,6.3,2.4,1.3,0.7,0.5,0.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,2,37,357,139,33,78,0.361,0.306,0.96,9.6,3.8,0.9,2.1,0.1,0.019,-2.3,0
52,52,CHO,Jalen McDaniels,San Diego State,3,85,1528,555,306,87,0.479,0.37,0.708,18,6.5,3.6,1,2.4,0.076,-2.8,-0.3
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
55,55,NYK,Kyle Guy,Virginia,2,34,245,91,36,33,0.333,0.265,0.8,7.2,2.7,1.1,1,-0.1,-0.016,-6.6,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,74,658,142,105,35,0.353,0.333,0.75,8.9,1.9,1.4,0.5,1,0.07,-2.9,-0.2
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1
60,60,SAC,Vanja Marinkovi?,,,,,,,,,,,,,,,,,,
