Player,League,PPG,RPG,APG
Cody Martin,NCAA,13.1,5.4,4.8
Cody Martin,NBA,5,3.4,1.9
De'Andre Hunter,NCAA,12.2,4.3,1.6
De'Andre Hunter,NBA,12.8,4.4,1.7
Dylan Windler,NCAA,19.3,10,1.6
Dylan Windler,NBA,4.4,2.9,1.1
Ja Morant,NCAA,24.5,5.7,10
Ja Morant,NBA,19.2,4.1,7.3
Jarrett Culver,NCAA,14.9,5.6,2.8
Jarrett Culver,NBA,7.6,3.1,1.3
Jordan Poole,NCAA,9.5,2.2,1.4
Jordan Poole,NBA,11.7,2.1,2.3
RJ Barrett,NCAA,22.6,7.6,4.3
RJ Barrett,NBA,15.9,5.5,2.7
Romeo Langford,NCAA,16.5,5.4,2.3
Romeo Langford,NBA,3.2,1.9,0.5
Tyler Herro,NCAA,14,4.5,2.5
Tyler Herro,NBA,15.4,4.7,3
Zion Williamson,NCAA,22.6,8.9,2.1
Zion Williamson,NBA,25.7,7,3.2
