draft,selected_by,player,position,college,PPG,RPG,APG
1952,Milwaukee Hawks,Mark Workman[f],Center,West Virginia,5.1,3,0.6
1953,Baltimore Bullets,Ray Felix^[g],Guard/Forward,Long Island,17.6,13.3,1.1
1954,Baltimore Bullets,Frank Selvy^,Forward/Center,Furman,19,5.5,3.5
1955,Milwaukee Hawks,Dick Ricketts[h],Guard/Forward,Duquesne,8.9,7.2,3
1956,Rochester Royals,Sihugo Green[i],Guard/Forward,Duquesne,11.5,5.2,3.6
1957,Cincinnati Royals,Rod Hundley^,Guard,West Virginia,7,2.9,1.9
1958,Minneapolis Lakers,Elgin Baylor^*[j],Forward,Seattle,24.9,15,4.1
1959,Cincinnati Royals,Bob Boozer^[k],Forward,Kansas State,8.4,6.2,1.4
1960,Cincinnati Royals,Oscar Robertson^*[l],Guard/Forward,Cincinnati,30.5,10.1,9.7
1961,Chicago Packers,Walt Bellamy^*,Center,Indiana,31.6,19,2.7
1962,Chicago Zephyrs,Bill McGill[m],Forward/Center,Utah,7.4,2.7,0.6
1963,New York Knicks,Art Heyman[n],Forward/Guard,Duke,15.4,4,3.4
1964,New York Knicks,Jim Barnes[o],Center/Forward,Texas Western,15.5,9.7,1.2
1965,San Francisco Warriors,Fred Hetzel[p],Forward/Center,Davidson,6.8,5.2,0.5
1966,New York Knicks,Cazzie Russell^,Forward/Guard,Michigan,11.3,3.3,2.4
1967,Detroit Pistons,Jimmy Walker^,Guard,Providence,8.8,1.7,2.8
1968,San Diego Rockets,Elvin Hayes^*,Center/Forward,Houston,28.4,17.1,1.4
1969,Milwaukee Bucks,Lew Alcindor^*[q],Center,UCLA,28.8,14.5,4.1
1970,Detroit Pistons,Bob Lanier^*,Center,St. Bonaventure,15.6,8.1,1.8
1971,Cleveland Cavaliers,Austin Carr^,Guard,Notre Dame,21.2,3.5,3.4
1972,Portland Trail Blazers,LaRue Martin,Center,Loyola (Illinois),4.4,4.6,0.5
1973,Philadelphia 76ers,Doug Collins^,Guard/Forward,Illinois State,8,1.8,1.6
1974,Portland Trail Blazers,Bill Walton^*,Center,UCLA,12.8,12.6,4.8
1975,Atlanta Hawks,David Thompson^*[r],Forward/Guard,NC State,26,6.3,3.7
1976,Houston Rockets,John Lucas,Guard,Maryland,11.1,2.7,5.6
1977,Milwaukee Bucks,Kent Benson,Center,Indiana,7.7,4.3,1.4
1978,Portland Trail Blazers,Mychal Thompson,Forward/Center,Minnesota,14.7,8.3,2.4
1979,Los Angeles Lakers,Magic Johnson^*,Guard/Forward,Michigan State,18,7.7,7.3
1980,Golden State Warriors,Joe Barry Carroll^,Center,Purdue,18.9,9.3,1.4
1981,Dallas Mavericks,Mark Aguirre^,Forward,DePaul,18.7,4.9,3.2
1982,Los Angeles Lakers,James Worthy^*,Forward,North Carolina,13.4,5.2,1.7
1983,Houston Rockets,Ralph Sampson^*,Center,Virginia,21,11.1,2
1984,Houston Rockets,Akeem Olajuwon^*[s],Center,Houston,20.6,11.9,1.4
1985,New York Knicks,Patrick Ewing^*,Center,Georgetown,20,9,2
1986,Cleveland Cavaliers,Brad Daugherty^,Center,North Carolina,15.7,8.1,3.8
1987,San Antonio Spurs,David Robinson^*[u],Center,Navy,24.3,12,2
1988,Los Angeles Clippers,Danny Manning^,Forward,Kansas,16.7,6.6,3.1
1989,Sacramento Kings,Pervis Ellison,Center,Louisville,8,5.8,1.9
