R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,Ja Morant,PG,MEM,67,31,0.477                                                          (6.7/14.0) good (i) 0.5678086900 (i),0.776                                                          (3.6/4.6)  (i) -0.0467488100 (i),0.9 bavg (i) -0.6548349531 (i),17.8 good (i) 0.9016120232 (i),3.9 bavg (i) -0.3700238126 (i),7.3 elite (i) 2.6598161628 (i),0.9  (i) 0.2591738261 (i),0.3  (i) -0.2376298269 (i),3.3 ngood (i) 2.3472726015 (i),2.49
2,Brandon Clarke,"PF,C",MEM,58,22.4,0.621                                                          (5.1/8.2) elite (i) 2.7038884400 (i),0.759                                                          (1.5/1.9)  (i) -0.1790716900 (i),0.4 ngood (i) -1.2395090183 (i),12.1  (i) -0.0161002147 (i),5.9  (i) 0.4522513265 (i),1.4 bavg (i) -0.6791019990 (i),0.6 bavg (i) -0.5183476522 (i),0.8 good (i) 0.9505193077 (i),0.9 good (i) -0.6177033162 (i),1.63
3,Kendrick Nunn,"PG,SG",MIA,67,29.3,0.439                                                          (6.0/13.6) bavg (i) -0.4547198000 (i),0.850                                                          (1.3/1.5)  (i) 0.3775560300 (i),2.0 good (i) 0.6782219157 (i),15.3  (i) 0.4991066557 (i),2.7 bavg (i) -0.8633888961 (i),3.3  (i) 0.3961428328 (i),0.8  (i) 0.0000000000 (i),0.2 bavg (i) -0.4752596539 (i),1.7  (i) 0.3706219897 (i),0.06
4,P.J. Washington,"SF,PF",CHA,58,30.3,0.455                                                          (4.6/10.2)  (i) 0.0000000000 (i),0.652                                                          (1.5/2.3) ngood (i) -1.2075454100 (i),1.5  (i) 0.0233869626 (i),12.2  (i) 0.0000000000 (i),5.4  (i) 0.2466825417 (i),2.1 bavg (i) -0.2829591663 (i),0.9  (i) 0.2591738261 (i),0.8 good (i) 0.9505193077 (i),1.6  (i) 0.2470813265 (i),-0.07
5,Zion Williamson,PF,NOP,24,27.8,0.583                                                          (8.8/15.0) elite (i) 3.7504532500 (i),0.640                                                          (4.8/7.4) ngood (i) -4.0192087200 (i),0.3 ngood (i) -1.4149112378 (i),22.5 vgood (i) 1.6583221140 (i),6.3 good (i) 0.6167063543 (i),2.1 bavg (i) -0.2829591663 (i),0.7 bavg (i) -0.2591738261 (i),0.4  (i) 0.0000000000 (i),2.5 bavg (i) 1.3589472956 (i),-0.29
6,Rui Hachimura,"SF,PF",WAS,48,30.1,0.466                                                          (5.3/11.4)  (i) 0.2415452700 (i),0.829                                                          (2.4/2.9) good (i) 0.5487042000 (i),0.5 ngood (i) -1.0991872426 (i),13.5  (i) 0.2093027911 (i),6.1 good (i) 0.5344788404 (i),1.8 bavg (i) -0.4527346660 (i),0.8  (i) 0.0000000000 (i),0.2 bavg (i) -0.4752596539 (i),1.1 good (i) -0.3706219897 (i),-0.4
7,Tyler Herro,"SG,SF",MIA,55,27.4,0.428                                                          (4.9/11.5) bavg (i) -0.6158813200 (i),0.870                                                          (1.6/1.8) good (i) 0.5938683000 (i),2.1 good (i) 0.7600762848 (i),13.5  (i) 0.2093027911 (i),4.1 bavg (i) -0.2877962987 (i),2.2  (i) -0.2263673330 (i),0.6 bavg (i) -0.5183476522 (i),0.2 bavg (i) -0.4752596539 (i),1.6  (i) 0.2470813265 (i),-0.62
8,Michael Porter Jr.,SF,DEN,55,16.4,0.509                                                          (3.6/7.0) good (i) 0.7920162900 (i),0.833                                                          (1.1/1.3)  (i) 0.2167084400 (i),1.1 bavg (i) -0.3858848830 (i),9.3 bavg (i) -0.4669062263 (i),4.7  (i) -0.0411137570 (i),0.8 ngood (i) -1.0186529985 (i),0.5 bavg (i) -0.7775214783 (i),0.5  (i) 0.2376298269 (i),0.9 good (i) -0.6177033162 (i),-1.29
9,Cam Reddish,"PG,SG,SF",ATL,58,26.7,0.384                                                          (3.7/9.6) ngood (i) -1.3188450300 (i),0.802                                                          (1.7/2.2)  (i) 0.1545087600 (i),1.4  (i) -0.0350804439 (i),10.5 bavg (i) -0.2737036499 (i),3.7 bavg (i) -0.4522513265 (i),1.5 bavg (i) -0.6225101658 (i),1.1 good (i) 0.7775214783 (i),0.5  (i) 0.2376298269 (i),1.6  (i) 0.2470813265 (i),-1.59
10,Eric Paschall,"SF,PF",GSW,60,27.6,0.496                                                          (5.3/10.7) good (i) 0.8684596500 (i),0.774                                                          (2.7/3.5)  (i) -0.0934976100 (i),0.6 bavg (i) -0.9822524296 (i),13.9  (i) 0.2737036499 (i),4.6  (i) -0.0822275139 (i),2.1 bavg (i) -0.2829591663 (i),0.5 bavg (i) -0.7775214783 (i),0.2 bavg (i) -0.4752596539 (i),1.6  (i) 0.2470813265 (i),-1.61
